Attribute Key                                                       ;Description                                                                              ;Family Full Name
TD1A Series - Single Leaf, Single Rabbet Frame Timber Doors
TD1A-01                                                             ;Single Leaf, Single Rabbet Frame Timber Door                                             ;TD1A-01 - Single Leaf, Single Rabbet Frame Timber Door
TD1A-02                                                             ;Single Leaf, Single Rabbet Frame 1hr Fire Rated Timber Door                              ;TD1A-02 - Single Leaf, Single Rabbet Frame 1hr Fire Rated Timber Door
TD1A-03                                                             ;Single Leaf, Single Rabbet Frame 1hr Fire Rated Acoustic STC35 Rated Timber Door         ;TD1A-03 - Single Leaf, Single Rabbet Frame 1hr Fire Rated Acoustic STC35 Rated Timber Door
TD1A-04                                                             ;Single Leaf, Single Rabbet Frame 1hr Fire Rated Acoustic STC45 Rated Timber Door         ;TD1A-04 - Single Leaf, Single Rabbet Frame 1hr Fire Rated Acoustic STC45 Rated Timber Door
TD1A-05                                                             ;Single Leaf, Single Rabbet Frame 1hr Fire Rated Acoustic STC55 Rated Timber Door         ;TD1A-05 - Single Leaf, Single Rabbet Frame 1hr Fire Rated Acoustic STC55 Rated Timber Door
TD1A-06                                                             ;Single Leaf, Single Rabbet Frame 2hr Fire Rated Timber Door                              ;TD1A-06 - Single Leaf, Single Rabbet Frame 2hr Fire Rated Timber Door
TD1A-07                                                             ;Single Leaf, Single Rabbet Frame 2hr Fire Rated Acoustic STC35 Rated Timber Door         ;TD1A-07 - Single Leaf, Single Rabbet Frame 2hr Fire Rated Acoustic STC35 Rated Timber Door
TD1A-08                                                             ;Single Leaf, Single Rabbet Frame 2hr Fire Rated Acoustic STC45 Rated Timber Door         ;TD1A-08 - Single Leaf, Single Rabbet Frame 2hr Fire Rated Acoustic STC45 Rated Timber Door
TD1A-09                                                             ;Single Leaf, Single Rabbet Frame 2hr Fire Rated Acoustic STC55 Rated Timber Door         ;TD1A-09 - Single Leaf, Single Rabbet Frame 2hr Fire Rated Acoustic STC55 Rated Timber Door

TD1B Series - Single Leaf, Double Rabbet Frame Timber Doors
TD1B-01                                                             ;Single Leaf, Double Rabbet Frame Timber Door                                             ;TD1B-01 - Single Leaf, Double Rabbet Frame Timber Door
TD1B-02                                                             ;Single Leaf, Double Rabbet Frame 1hr Fire Rated Timber Door                              ;TD1B-02 - Single Leaf, Double Rabbet Frame 1hr Fire Rated Timber Door
TD1B-03                                                             ;Single Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC35 Rated Timber Door         ;TD1B-03 - Single Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC35 Rated Timber Door
TD1B-04                                                             ;Single Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC45 Rated Timber Door         ;TD1B-04 - Single Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC45 Rated Timber Door
TD1B-05                                                             ;Single Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC55 Rated Timber Door         ;TD1B-05 - Single Leaf, Double Rabbet Frame 1hr Fire Rated Acoustic STC55 Rated Timber Door
TD1B-06                                                             ;Single Leaf, Double Rabbet Frame 2hr Fire Rated Timber Door                              ;TD1B-06 - Single Leaf, Double Rabbet Frame 2hr Fire Rated Timber Door
TD1B-07                                                             ;Single Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC35 Rated Timber Door         ;TD1B-07 - Single Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC35 Rated Timber Door
TD1B-08                                                             ;Single Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC45 Rated Timber Door         ;TD1B-08 - Single Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC45 Rated Timber Door
TD1B-09                                                             ;Single Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC55 Rated Timber Door         ;TD1B-09 - Single Leaf, Double Rabbet Frame 2hr Fire Rated Acoustic STC55 Rated Timber Door

TD2A Series - Double Equal Leaf, Single Rabbet Frame Timber Doors
TD2A-01                                                             ;Double Equal Leaf, Single Rabbet Frame Timber Door                                       ;TD2A-01 - Double Equal Leaf, Single Rabbet Frame Timber Door
TD2A-02                                                             ;Double Equal Leaf, Single Rabbet Frame 1hr Fire Rated Timber Door                        ;TD2A-02 - Double Equal Leaf, Single Rabbet Frame 1hr Fire Rated Timber Door
