Wall Set;Wall Type No.;Wall Definition;Total Thickness;Fire Rating;STC Rating;Wall Family Full Name;Description
- 100mm thk Brickwall without finishing
BW10A;01;;;;;BW10A.01 - BW100;100mm thk Brickwall

- 100mm thk Brickwall with Finishing on 1 Side
BW10B;01;BW100+PL15;T115;;;BW10B.01 - BW100+PL15, T115;100mm thk Brickwall with 15mm thk Plaster Finish
BW10B;02;BW100+PL15;T115;FR1;;BW10B.02 - BW100+PL15, T115, FR1;100mm thk Brickwall with 15mm thk Plaster, 1hr Fire Rating
BW10B;03;BW100+PL15;T115;FR1;STC45;BW10B.03 - BW100+PL15, T115, FR1, STC45;100mm thk Brickwall with 15mm thk Plaster, 1hr Fire Rating + STC45
BW10B;04;BW100+PL15;T115;FR1;STC35;BW10B.04 - BW100+PL15, T115, FR1, STC35;100mm thk Brickwall with 15mm thk Plaster, 1hr Fire Rating + STC35
BW10B;05;BW100+PL15;T115;FR1;STC55;BW10B.05 - BW100+PL15, T115, FR1, STC55;100mm thk Brickwall with 15mm thk Plaster, 1hr Fire Rating + STC55
BW10B;06;BW100+PL15;T115;FR2;;BW10B.06 - BW100+PL15, T115, FR2;100mm thk Brickwall with 15mm thk Plaster, 2hr Fire Rating
BW10B;07;BW100+PL15;T115;FR2;STC45;BW10B.07 - BW100+PL15, T115, FR2, STC45;100mm thk Brickwall with 15mm thk Plaster, 2hr Fire Rating + STC45
BW10B;08;BW100+PL15;T115;FR2;STC35;BW10B.08 - BW100+PL15, T115, FR2, STC35;100mm thk Brickwall with 15mm thk Plaster, 2hr Fire Rating + STC35
BW10B;09;BW100+PL15;T115;FR2;STC55;BW10B.09 - BW100+PL15, T115, FR2, STC55;100mm thk Brickwall with 15mm thk Plaster, 2hr Fire Rating + STC55

- 100mm thk Brickwall with Finishing on Both Sides
BW10C;01;PL15+BW100+PL15;T130;;;BW10C.01 - PL15+BW100+PL15, T130;100mm thk Brickwall with 15mm thk Plaster Finish Both Sides
BW10C;02;PL15+BW100+PL15;T130;FR1;;BW10C.02 - PL15+BW100+PL15, T130, FR1;100mm thk Brickwall with 15mm thk Plaster Finish Both Sides, 1hr Fire Rating
BW10C;03;PL15+BW100+PL15;T130;FR1;STC45;BW10C.03 - PL15+BW100+PL15, T130, FR1, STC45;100mm thk Brickwall with 15mm thk Plaster Finish Both Sides, 1hr Fire Rating + STC45
BW10C;04;PL15+BW100+PL15;T130;FR1;STC35;BW10C.04 - PL15+BW100+PL15, T130, FR1, STC35;100mm thk Brickwall with 15mm thk Plaster Finish Both Sides, 1hr Fire Rating + STC35
BW10C;05;PL15+BW100+PL15;T130;FR1;STC55;BW10C.05 - PL15+BW100+PL15, T130, FR1, STC55;100mm thk Brickwall with 15mm thk Plaster Finish Both Sides, 1hr Fire Rating + STC55
BW10C;06;PL15+BW100+PL15;T130;FR2;;BW10C.06 - PL15+BW100+PL15, T130, FR2;100mm thk Brickwall with 15mm thk Plaster Finish Both Sides, 2hr Fire Rating
BW10C;07;PL15+BW100+PL15;T130;FR2;STC45;BW10C.07 - PL15+BW100+PL15, T130, FR2, STC45;100mm thk Brickwall with 15mm thk Plaster Finish Both Sides, 2hr Fire Rating + STC45
BW10C;08;PL15+BW100+PL15;T130;FR2;STC35;BW10C.08 - PL15+BW100+PL15, T130, FR2, STC35;100mm thk Brickwall with 15mm thk Plaster Finish Both Sides, 2hr Fire Rating + STC35
BW10C;09;PL15+BW100+PL15;T130;FR2;STC55;BW10C.09 - PL15+BW100+PL15, T130, FR2, STC55;100mm thk Brickwall with 15mm thk Plaster Finish Both Sides, 2hr Fire Rating + STC55
